response,answer,table_id,key,question
"Adam Gemili finished 2nd at the 2014 Commonwealth Games in the 100m event, achieving a time of 10.10.","In the 2014 Commonwealth Games, Gemili finished the 100m in second position with a time of 10.10 seconds.",totto_source/train_json/example-4916.json,12617,Who finished 2nd at the 2014 Commonwealth games and what time did they achieve?
"""I've Got a Feeling"" was released on October 7, 1997 in the United States and in 1998 in Australia.","""I've Got a Feeling"" was released, through Atlantic, in the United States on October 7, 1997 and in Australia in 1998.",totto_source/train_json/example-13369.json,21070,"When was ""I've Got a Feeling"" released?"
"Tom Felton's first two roles were in the movies ""The Borrowers"" in 1997, where he played the role of Peagreen Clock, and ""Anna and the King"" in 1999, where he played the role of Louis T. Leonowens.",Tom Felton made his debut in the role of Peagreen Clock in The Borrowers in 1997 and portrayed Louis T. Leonowens in Anna and the King in 1999.,totto_source/train_json/example-6138.json,13839,What and when were Tom Felton's first two roles?
Labour beat the National British Party by 192 votes.,Labour defeated the British National Party by 192 votes.,totto_source/train_json/example-13229.json,20930,How many votes did Labour beat the National British Party by?
"In the 1990 Colorado gubernatorial election, Roy Romer from the Democratic Party received 626,032 votes, which accounted for 61.89% of the total votes. John Andrews from the Republican Party received 358,403 votes, which accounted for 35.43% of the total votes. David Aitken from the Libertarian Party received 18,930 votes, which accounted for 1.87% of the total votes. David Livingston from the Prohibition Party received 7,907 votes, which accounted for 0.78% of the total votes. The voter turnout for the election was 1,011,272. The election resulted in a Democratic hold.","Democrat Roy Romer defeated Republican nominee, John Andrews with 61.89% of the vote.",totto_source/train_json/example-4815.json,12516,What were the results of the 1990 Colorado gubernatorial election?
"Hal Sutton had the lowest individual score in the 1980 Eisenhower Trophy. His score was 276, which was 6 strokes lower than the second-place player, Chen Tze-chung.","Hal Sutton had the lowest individual score of 12-under-par 276, six strokes better than any other player.",totto_source/train_json/example-9843.json,17544,Which player had the lowest individual score and by how much was it lower than any other player?
"The end of Richard M. Simpson's service in the 86th United States Congress was on January 7, 1960. His successor was Douglas H. Elliott.","In the 86th United States Congress, Richard M. Simpson (R) served until January 7, 1960 and was succeeded by Douglas H. Elliott (R) on April 26, 1960, who served until June 19, 1960.",totto_source/train_json/example-13344.json,21045,"In the 86th United States Congress, What date was the end of Richard M. Simpson's service, and who was his successor?"
"In Tarot, Sandra Peabody played the role of The Sun. In Annie Get Your Gun, she played the role of Minnie.","Peabody appeared as The Sun in an Off-Broadway production of Tarot (1970), which she followed with the role as Minnie in Annie Get Your Gun (1973-1974).",totto_source/train_json/example-2382.json,10083,"What roles did Sandra Peabody play in Tarot and Annie Get Your Gun, respectively?"
"The Texas' 21st congressional district election was not very close, as the Republican candidate, Lamar Smith, received 68.9% of the votes, while the Democratic candidate, Lainey Melnick, received only 27.9% of the votes. The Republican candidate won by a majority of 96,929 votes.","In the Texas's 21st congressional district election, Lamar Smith defeated Lainey Melnick with 68.9 percent of the vote, with a majority of 96929 votes.",totto_source/dev_json/example-1788.json,1789,How close was Texas' 21st congressional district election?
"The non-Leo awards for which Rickards received a solo nomination are:
- Teen Choice Awards: Female Breakout Star (2014)
- MTV Fandom Awards: Ship of the Year (2015)
- Teen Choice Awards: Choice TV Actress - Fantasy/Sci-Fi (2015)
- Teen Choice Awards: Choice TV Liplock (2015)
- MTV Fandom Awards: Ship of the Year (2016)
- Teen Choice Awards: Choice TV Actress - Fantasy/Sci-Fi (2016)
- Teen Choice Awards: Choice TV Liplock (2016)
- Teen Choice Awards: Choice TV Actress - Action (2017)
- Teen Choice Awards: Choice TV Actress - Action (2018)
- Teen Choice Awards: Choice TV Ship (2018)","Rickards has been nominated for five Teen Choice Awards: four for Choice TV Actress in Fantasy, Sci-Fi, or Action, and one for Female Breakout Star in 2014.",totto_source/train_json/example-9366.json,17067,What are all the non-Leo awards for which Rickards received a solo nomination?
"In 2017, Aaron Taylor-Johnson appeared in the film ""The Wall."" In 2018, he appeared in the films ""Outlaw King"" and ""A Million Little Pieces.""","In 2017, Aaron Taylor-Johnson appeared in Doug Liman's The Wall and, in 2018, appeared in Outlaw King as well as A milliom Little Pieces.",totto_source/train_json/example-3894.json,11595,What films did Aaron Taylor-Johnson appear in in 2017 and 2018?
Saadet Aksoy won the Best Actress award for Love in Another Language at the Ankara International Film Festival and the Bursa Silk Road Film Festival.,Saadet Aksoy's 2009 Love in Another Language brought her Best Actress awards at Ankara International Film Festival and Bursa Silk Road Film Festival.,totto_source/train_json/example-2848.json,10549,What awards did Aksoy win for Love in Another Language?
"In 1994, Choi Myung-gil won two Best Actress Awards. They were from the 16th Three Continents Festival and the 15th Blue Dragon Film Awards.","Choi received 2 Best Actress awards for Rosy Life, one at the 16th Three Continents Festival and the other in the 15th Blue Dragon Film Awards.",totto_source/dev_json/example-2033.json,2034,How many Best Actress Awards did Choi win in 1994 and where were they from?
"Rosie Huntington-Whiteley was most successful in the year 2011, where she won multiple awards including the Elle Style Awards for Model of the Year, Glamour Awards Editor's Special Award, Guys Choice Our New Girlfriend Award, and CinemaCon Awards Female Star of Tomorrow Award.",In 2011 Rosie Huntington-Whiteley won 3 awards and was nominated for the Teen Choice Awards Choice Movie Actress: Summer award.,totto_source/dev_json/example-1769.json,1770,What year was Rosie Huntington-Whiteley most successful?
The top 2 finishers in the 1952 Summer Olympics - Men's 110 metres hurdles were Harrison Dillard from the United States and Jack Davis from the United States.,Automatic timing showed Dillard had a time of 13.91 and Davis recorded a time of 14.00.,totto_source/train_json/example-823.json,8524,Who were the top 2 finishers in the 1952 Summer Olympics – Men's 110 metres hurdles?
"In 1997, Haviland Morris played the role of Korben Dallas's mother in the movie ""The Fifth Element"" and the role of Karen Pruitt in the movie ""Home Alone 3"".",Morris played Korben Dallas's mother in The Fifth Element and Karen Pruitt in Home Alone 3 in 1997.,totto_source/dev_json/example-32.json,33,What movies and roles did Morris play in 1997?
Sandra Farmer-Patrick from the USA received the silver medal and Janeene Vickers from the USA received the bronze medal for the women's 400 metres hurdles at the 1992 Summer Olympics.,"Farmer-Patrick was in second, winning silver in 53.69 secs, while Vickers narrowly held on for the bronze medal from Ledovskaya, both being timed at 54.31 secs.",totto_source/train_json/example-82.json,7783,Who received the silver and bronze medals for the women's 400 metres hurdles at the 1992 Summer Olympics?
"The population breakdown of Nurpur Jattan by gender is as follows:
- Total population: 763
- Male population: 401
- Female population: 362

The number of houses in Nurpur Jattan is 157.","Nurpur Jattan has total number of 157 houses and population of 763, of which include 401 males and 362 females.",totto_source/train_json/example-2152.json,9853,"What is the population breakdown of Nurpur Jattan by gender, and how many houses does it have?"
"In 1953, Kathryn Beaumont starred as Wendy Darling in Peter Pan.",Kathryn Beaumont starred in the voice role of Wendy Darling in Peter Pan (1953).,totto_source/dev_json/example-1261.json,1262,What did Kathryn Beaumont star in 1953?
"The total statistics of Talwandi Mehma are as follows:

- Total No. of Houses: 258
- Total Population: 1,396
- Male Population: 715
- Female Population: 681
- Population in the age group 0-6 years: 141
- Male population in the age group 0-6 years: 74
- Female population in the age group 0-6 years: 67
- Scheduled Castes (SC) population: 984
- Scheduled Castes (SC) male population: 510
- Scheduled Castes (SC) female population: 474
- Scheduled Tribes (ST) population: 0
- Literate population: 912
- Literate male population: 498
- Literate female population: 414
- Illiterate population: 484
- Illiterate male population: 217
- Illiterate female population: 267
- Total Workers: 471
- Male Workers: 399
- Female Workers: 72
- Main Workers: 305
- Male Main Workers: 274
- Female Main Workers: 31
- Marginal Workers: 166
- Male Marginal Workers: 125
- Female Marginal Workers: 41","Talwandi Mehma has total number of 258 houses and a population of 1,396 of which include 715 males and 681 females.",totto_source/train_json/example-866.json,8567,What are the total statistics of Talwandi Mehma?
"Fabrizio Donato won the gold medal in the following competitions:
- 2001 Mediterranean Games in Radès, Tunisia
- 2009 European Indoor Championships in Turin, Italy
- 2012 European Championships in Helsinki, Finland","Fabrizio Donato won gold medals at the 2001 Mediterranean Games with a record of 17.05 metres and the 2009 European Indoor Championships, a championship record of 17.59 metres.",totto_source/dev_json/example-1803.json,1804,Which competitions did Fabrizio Donato win gold medal?
"Wayne Kerrins played for Fulham in the third division. He played for Fulham in the seasons 1986-87, 1987-88, and 1988-89.","Wayne Kerrins played for Fulham in the Third Division in 1986–87, 1987–88, and 1988–89.",totto_source/train_json/example-4421.json,12122,"Who did Wayne Kerrins play for in the third division, and what seasons did he play for them?"
"Maylee Todd released the albums ""Choose Your Own Adventure"" in 2010, ""Do Right! Serato Pressing featuring Maylee Todd"" in 2011, ""Escapology"" in 2013, and ""Acts Of Love"" in 2017 on the Do Right Music label.",Maylee Todd released her first album Choose Your Own Adventure in 2010 and Escapology in 2013 on the Do Right Music label.,totto_source/train_json/example-569.json,8270,Which albums did Maylee Todd release on the Do Right Music label and in which years?
The table does not provide information about the number of males and females in Mithra households.,Mithra has a total number of 80 houses and a population of 350 which includes 185 males and 165 females.,totto_source/train_json/example-2801.json,10502,How many males and females are there in Mithra households?
"In 2012, Dania Ramirez appeared in the films American Reunion as Selena and Premium Rush as Vanessa.","In 2012, Ramirez appeared in two roles: Selena in American Reunion and Vanessa in Premium Rush.",totto_source/train_json/example-1542.json,9243,What did Daniela Ramirez do in 2012?
"In 2010, Feyisa Lilesa ran in the Xiamen International Marathon and the Rotterdam Marathon.","Feyisa Lilesa ran at the 2010 Chicago Marathon, at the 2010 Rotterdam Marathon, and at the Xiamen International Marathon.",totto_source/dev_json/example-2254.json,2255,What marathons did Feyisa Lilesa run in 2010?
"Smacksoft's albums ""Shines in the Dark"" and ""Follow Your Heart"" were both nominated for Best Modern Rock Album at the Korean Music Awards. ""Shines in the Dark"" was nominated in 2010 and ""Follow Your Heart"" was nominated in 2013.",Two of Smacksoft's albums were nominated for Best Modern Rock Album at the Korean Music Awards: Shines in the Dark in 2010 and Follow Your Heart in 2013.,totto_source/train_json/example-4002.json,11703,"Which of Smacksoft's albums were nominated for Best Modern Rock Album at the Korean Music Awards, and when were they nominated?"
"Anthony Alonzo won his first Metro Manila Film Festival award in 1983 for the Best Actor category for his work in ""Bago Kumalat ang Kamandag."" He won his second Metro Manila Film Festival award in 1987 for the Best Actor category for his work in ""Anak Badjao.""",Anthony Alonzo won the Best Actor awards from the Metro Manila Film Festival for Bago Kumalat Ang Kamandag in 1983 and for Anak Badjao in 1987.,totto_source/train_json/example-13556.json,21257,"When did Anthony Alonzo win Metro Manila Film Festival awards and for which works, respectively?"
"The lead roles played by Minal Khan in 2017 were Haya in ""Beti To Main Bhi Hun"" and Khadija in ""Laut Ke Chalay Aana"".",Khan's first lead role was in Urdu 1's Beti To Main Bhi Hun (2017) as Haya and followed with another lead role in Hum TV's Parchayee as Pari.,totto_source/train_json/example-1352.json,9053,What were the lead roles played by Minal Khan in 2017?
"In 2010 and 2011, New Medicine had the following Peak Positions on the Mainstream chart for their singles: 
- ""Laid"" peaked at 32 
- ""Race You to the Bottom"" peaked at 19 
- ""Rich Kids"" peaked at 31","""Laid"" hit number 32, ""Race You to the Bottom"" hit number 19 and Rich Kids"" hit number 31 on the Mainstream chart.",totto_source/train_json/example-9976.json,17677,What were the Peak Positions on the Mainstream chart of three New Medicine's singles in 2010 and 2011?
"In the 1956 United States presidential election in Wyoming, Dwight D. Eisenhower (Republican) received 74,573 votes, which accounted for 60.08% of the total votes. Adlai Stevenson (Democratic) received 49,554 votes, which accounted for 39.92% of the total votes. The total number of votes cast was 124,127.","Wyoming was won by Dwight D. Eisenhower with 60.08% of the vote, against Adlai Stevenson with 39.92% of the vote.",totto_source/dev_json/example-2126.json,2127,What were the results of the 1956 United States presidential election in Wyoming?
"In the 2014 Commonwealth Games, Callum Hawkins finished in 20th place in the 10,000m race with a time of 29:12.52.","Hawkins competed at the 2014 Commonwealth Games held in Glasgow in the 10,000 metres, finishing 20th.",totto_source/train_json/example-7846.json,15547,How was Hawkins doing in the 2014 Commonwealth Games?
"Yes, Joshua Jackson starred in The Simpsons as Jesse Grass in the episode ""Lisa the Tree Hugger"" in 2000.","In 2000, Joshua Jackson starred in The Simpsons, voicing the character of Jesse Grass in the episode ""Lisa the Tree Hugger"".",totto_source/dev_json/example-319.json,320,Did Joshua Jackson ever star in the Simpsons?
Allkja played for Elbasani in the Albanian Second Division in the 2017-2018 season.,Allkja played for Elbasani in the 2017–18 Albanian Second Division.,totto_source/train_json/example-13045.json,20746,What year did Allkja play for Elbasani in the Albanian Second Division?
"Marcos Acuña had the most matches, goals, and assists totals while playing for Racing Club. He had a total of 109 matches, 20 goals, and 24 assists.","At Ferro, Acuña played a total of 117 matches, with 5 goals and 23 assists.",totto_source/train_json/example-13825.json,21526,"Where did Marcos Acuña have the most matches, goals, and assists totals and assists and how many of each did he have.?"
"Yes, Bujumbura has two museums - the Living Museum of Bujumbura and the Geological Museum of Burundi.",The Living Museum of Bujumbura and the Geological Museum of Burundi are located in Bujumbura.,totto_source/dev_json/example-1430.json,1431,Do any cities have more than one museum?
Owen McDonnell's first role for something made by RTE was in the TV show Conspiracy of Silence in 2003.,Owen McDonnell played Sergeant Jack Driscoll in RTÉ's Single-Handed (2007-10).,totto_source/dev_json/example-1515.json,1516,What was Owen McDonnell's first role for something made by RTE?
"In 2015, Hassane Fofana participated in the European Indoor Championships in Prague, Czech Republic. He competed in the 60 m hurdles event and recorded a time of 7.75.

In 2016, Hassane Fofana participated in the European Championships in Amsterdam, Netherlands. He competed in the 110 m hurdles event and reached the semi-finals, finishing 12th with a time of 13.52.",Hassane Fofana finished in 13.52 in the 110 meters hurdles (Amsterdam 2016) and in 7.75 in the 60 meters hurdles (Prague 2015).,totto_source/train_json/example-9072.json,16773,"What were Fofana's times, events, and venues in 2015 and 2016?"
"The populations of the three largest ethnic groups in Vancouver Kingsway are as follows:
1. Chinese: 37,355
2. European: 32,905
3. Filipino: 12,975","The three largest ethnic groups are Chinese (36%), European (31.7%) and Filipino (12.5%).",totto_source/train_json/example-4809.json,12510,What are the populations of the three largest ethnic groups?
"The minimum prize earned was $730,725 and the maximum prize earned was $10,000,000. Martin Jacobson won the least with a prize of $730,725.","The final table's minimum prize was $730,725 which was earned by Mark Newhouse and the maximum was $10,000,000.",totto_source/train_json/example-2095.json,9796,"What were the minimum and maximum prizes earned, and who won the least?"
Giourkas Seitaridis appeared for Panathinaikos in the Alpha Ethniki league for the 2003-04 season.,"In the 2003–04 season, Giourkas Seitaridis appeared in Alpha Ethniki with Panathinaikos.",totto_source/train_json/example-13186.json,20887,What club and league did Giourkas Seitaridis appear in for the 2003–04 season?
"In the Main Worker category, there were a total of 124 workers engaged as cultivators and 90 workers engaged as agricultural labourers.",Workers engaged in Main Work were 124 cultivators and 90 Agricultural labourers.,totto_source/train_json/example-1379.json,9080,How many workers in Main work were engaged as cultivators and Agricultural Labourers?
"Angus Sampson starred as ""Ozzy"" in The Walking Dead in 2019.","In 2019, Sampson starred as “Ozzy” in the series The Walking Dead.",totto_source/dev_json/example-716.json,717,When and where did Sampson star as “Ozzy”?
"In the 2016 presidential election in New Jersey, the winner was Hillary Clinton from the Democratic Party and the runner up was Donald Trump from the Republican Party.",The 2016 United States presidential election in New Jersey was won by Hillary Clinton with 55.5% of the vote over Donald Trump's 41.35%.,totto_source/train_json/example-13481.json,21182,Who were the winner and runner up in the 2016 presidential election in New Jersey?
"In 2007, Shelly Blond did voice work for the character Cinderella in the production Snow White: The Sequel. In 2014, she did voice work for the character Audrey Glamour in the production Moomins on the Riviera.","Shelley Blond is the voice of Cinderella in Snow White: The Sequel, and Audrey Glamour in the 2014 film Moomins on the Riviera.",totto_source/train_json/example-220.json,7921,"What kind of voice work did Shelly Blond do in 2007 and 2014, and in which productions?"
The Democratic Party of Côte d'Ivoire – African Democratic Rally won the election by a margin of 15 seats.,"The result was a victory for the Democratic Party of Côte d'Ivoire – African Democratic Rally, which won 148 of the 175 seats.",totto_source/train_json/example-2525.json,10226,Who won the election and by how many seats?
"In the 2011 movie Padam Padam, Thunder had a cameo role as Yang Kang-woo.","In 2011, Thunder had a cameo role in Padam Padam, where he played the role of Yang Kang-woo.",totto_source/train_json/example-9973.json,17674,What was Thunder doing in the 2011 movie Padam Padam?
"The total number of houses in Bhandal Bet is 585. The male population is 1,486 and the female population is 1,398.","Bhandal Bet has a total number of 585 houses and a population of 2,884 of which include 1,486 males and 1,398 females.",totto_source/train_json/example-3521.json,11222,What was the total number of houses and the male and female population of Bhandal Bet?
"""A View from the Bridge"" won the Tony Awards for Best Revival of a Play and Best Direction of a Play.",A View from the Bridge won the Tony Award for Best Revival of a Play and Ivo van Hove won the Tony Award for Best Direction of a Play.,totto_source/dev_json/example-1810.json,1811,"Which categories of Tony Awards did ""A View from the Bridge"" win?"
"Pierre Bertho earned 644 out of a total of 818 votes, which is a ratio of approximately 0.79 or 79%.",Pierre Bertho of the Popular Republican Movement was the candidate elected with 644 of the 818 votes casted.,totto_source/train_json/example-13540.json,21241,What ratio of total votes did Pierre Bertho earn during the 1946 Dahomey and Togo by-election?
"The Koumi Line has a total of 24 stations. The stations are:

1. Kobuchizawa
2. Kai-Koizumi
3. Kai-Ōizumi
4. Kiyosato
5. Nobeyama
6. Shinano-Kawakami
7. Saku-Hirose
8. Saku-Uminokuchi
9. Umijiri
10. Matsubarako
11. Koumi
12. Managashi
13. Takaiwa
14. Yachiho
15. Kaize
16. Haguroshita
17. Aonuma
18. Usuda
19. Tatsuokajō
20. Ōtabe
21. Nakagomi
22. Namezu
23. Kita-Nakagomi
24. Iwamurada","Koumi Line has 31 stations including Kobuchizawa Station in Hokuto, Yamanashi and Komoro Station in Komoro, Nagano.",totto_source/train_json/example-6870.json,14571,How many stations does Koumi Line have altogether and what are they?
The table provided does not mention Alessandra Negrini playing the role of Clara in any movie.,Alessandra Negrini played the role of Clara in Olho no Olho (1993).,totto_source/train_json/example-13902.json,21603,When did Alessandra Negrini comprise the role of Clara in what movie?
"The latest IETF standards documentation is RFC 7440, titled ""TFTP Windowsize Option,"" and it was released in January 2015.",The TFTP Windowsize Option (RFC 7440) was published in January 2015.,totto_source/dev_json/example-1506.json,1507,Was is the latest IETF standards documentation and when was it released?
The 1940 Bow and Bromley by-election seat was held by the Labour party with 95.8% of the votes.,"On a reduced turnout, Key held the 1940 Bow and Bromley by-election seat for Labour with 95.8% of the votes.",totto_source/train_json/example-4406.json,12107,What percentage of votes held the 1940 Bow and Bromley election seat for labour?
Judith Flanagan Kennedy defeated Clancy with 27 votes in 2009.,"In 2009, Clancy was defeated by Judith Flanagan Kennedy by a total of 8,043 votes to 8,016.",totto_source/train_json/example-13391.json,21092,How many votes did Judith Flanagan Kennedy defeat Clancy with in 2009?
Keila Costa competed in Brazil Belém in late May and performed in the long jump with a distance of 6.88 m (wind: -0.1 m/s).,"On 20 May 2007, Keila Costa jumped 6.88 metres in Belém, and also participated in São Paulo on 7 June 2013.",totto_source/train_json/example-7289.json,14990,"In which locations did Keila Costa compete in late May and early June, and how did she perform in late May?"
"In 2005 and 2006, Jeffrey Dean Morgan simultaneously appeared in the television series Weeds and Supernatural.","In 2005 and 2006, Morgan simultaneously appeared in three television series: in the series Supernatural as John Winchester, in a recurring role in Grey's Anatomy as Denny Duquette, and as Judah Botwin in two episodes of the series Weeds.",totto_source/train_json/example-3618.json,11319,Which television series did Morgan simultaneously appear in 2005 and 2006?
"Yes, Alexandra Daddario reprised her role as Annabeth Chase in both ""Percy Jackson & the Olympians: The Lightning Thief"" (2010) and ""Percy Jackson: Sea of Monsters"" (2013).","In 2013, Daddario reprised her role as Annabeth Chase in the film Percy Jackson: Sea of Monsters, which is the sequel to Percy Jackson & the Olympians: The Lightning Thief.",totto_source/train_json/example-703.json,8404,Has Alexandria Daddario reprised any of her roles for multiple films?
"Declan O'Scanlon received 25.6% of the vote, Caroline Casagrande received 25.5% of the vote, Mike Panter received 25.0% of the vote, and Amy Mallet received 23.9% of the vote.","O'Scanlon, Casagrande, Panter and Mallet received 25.6%, 25.5%, 25.0% and 23.9% of the vote.",totto_source/train_json/example-13060.json,20761,What percentage of the vote did each candidate receive?
"In 2000, Raghava Lawrence acted in the films ""Unnai Kodu Ennai Tharuven"" as Ganapathi and ""Parthen Rasithen"" as Doss.",Raghava Lawrence acted in Unnai Kodu Ennai Tharuven (2000) and in Parthen Rasithen (2000).,totto_source/train_json/example-3673.json,11374,Which films did Raghava Lawrence act in 2000?
The U Too began broadcasting on channel 26.2 with a definition of 480i.,The U Too began broadcasting on WMEU-CD simulcast channel 26.2 in 16:9 standard definition.,totto_source/train_json/example-13356.json,21057,What channel and definition did The U Too began broadcasting on?
"The two heaviest ships Gerhard Bigalk attacked were the St. Lindsay, which was sunk on 14 June 1941, and the HMS Audacity, which was also sunk on 21 December 1941.","Gerhard Bigalk damaged one ship of 8,096 GRT, and sunk one warship of 11,000 tons.",totto_source/train_json/example-2354.json,10055,What happened to the two heaviest ships Gerhard Bigalk attacked?
"In 1995, Baby D released the single ""(Everybody's Got to Learn Sometime) I Need Your Loving"" from the album Deliverance. In 1996, they released the singles ""So Pure"" and ""Take Me to Heaven"" also from the album Deliverance.","Baby D's single ""(Everybody's Got to Learn Sometime) I Need Your Loving"" was released in 1995 and ""So Pure"" and ""Take Me to Heaven"" in 1996, all from the album Deliverance.",totto_source/train_json/example-5350.json,13051,"What singles did Baby D release in 1995 and 1996, and which album were they from?"
"Patricia Routledge won the British Comedy Award for Best TV Comedy Actress in 1991 for ""Keeping Up Appearances"".","For Keeping Up Appearances, Patricia Routledge was nominated for the BAFTA TV Award for Best Light Entertainment Performance in 1992 and 1993.",totto_source/dev_json/example-1869.json,1870,"What awards did Patricia Routledge win for producing ""Keeping Up Appearances""?"
"Yes, George Rose won awards for Outstanding Featured Actor in a Musical for My Fair Lady in 1976 and for Drood in 1986.","In 1979, George Rose won the Drama Desk Award for Outstanding Featured Actor in a Play for The Kingfisher.",totto_source/dev_json/example-1774.json,1775,Did George Rose win any awards for Featured Actor?
Amber Kuo was nominated for the Best Actress award at the 45th Golden Bell Awards for her role in The Year of Happiness and Love.,Amber Kuo was nominated in 2010 for Best Actress at the 45th Golden Bell Awards for her role in The Happy Times of That Year.,totto_source/dev_json/example-2288.json,2289,What awards did Amber Kuo receive for starring in the film The Year of Happiness and Love?
ANA flew its last flight of Airbus A321-100 in 2008.,"ANA flew its last flight of an Airbus A321-100, in 2008.",totto_source/dev_json/example-705.json,706,When did ANA fly its last flight of Airbus A321-100?
Margaret Qualley played the role of Mary Dalton in Rashid Johnson's Native Son.,"In 2019, Qualley played Mary Dalton in Rashid Johnson's of Native Son.",totto_source/train_json/example-13003.json,20704,Who played in Johnson's of Native Son?
"Andy Gross appeared as a ventriloquist in the television series ""Beverly Hills, 90210"" and ""Las Vegas"".","Andy Gross acted as ventriloquist in television series such as Beverly Hills, 90210, Las Vegas and After Judgment.",totto_source/train_json/example-166.json,7867,What are some television series that Andy Gross appeared as a ventriloquist?
