id,question,response,answer,sql,r_num_cell,t_num_cell,linear_table
id,question,response,answer,sql,r_num_cell,t_num_cell,linear_table
15064,What significant career achievement did Yu make in 2011?,"in 2011, yu zheng won the most popular screenwriter award at the grand ceremony of movie & tv new forces, the best screenwriter award at the 16th asian television awards, and the screenwriter award at the youku film and television award.","in 2011 yu was noted for palace, which earned him a best screenwriter award at the 16th asian television awards.","select award, category, result from T where year = 2011;",9,49,"award | category | result
grand ceremony of movie & tv new forces | most popular screenwriter | won
16th asian television awards | best screenwriter | won
youku film and television award | screenwriter award | won"
1834,How's Huang Yu-ting doing in the 2009 World Games?,"huang yu-ting performed well in the 2009 world games. she won gold medals in the following events: women's 300 m time trial, women's 500 m sprint, and women's 1000 m sprint.","as an inline speed skater, huang won three gold medals at the 2009 world games in chinese taipei: 300 m time trial, 500 m sprint, and 1000 m sprint.",select * from T,55,55,"row_number | event | gold | silver | bronze
0 | men's 300 m time trial | lo wei-lin, chinese taipei | andrés felipe muñoz, colombia | pedro causil, colombia
1 | men's 500 m sprint | andrés felipe muñoz, colombia | lo wei-lin, chinese taipei | lee myung-kyu, south korea
2 | men's 1000 m sprint | pedro causil, colombia | alexis contin, france | claudio naselli, italy
3 | men's 10000 m points elimination | yann guyader, france | nelson garzón, colombia | daniel álvarez, venezuela
4 | men's 15000 m elimination | jorge luis cifuentes, colombia | yann guyader, france | andrés felipe muñoz, colombia
5 | none | none | none | none
6 | women's 300 m time trial | huang yu-ting, chinese taipei | hsu chiao-jen, chinese taipei | lim jin-seon, south korea
7 | women's 500 m sprint | huang yu-ting, chinese taipei | lim jin-seon, south korea | jercy puello, colombia
8 | women's 1000 m sprint | huang yu-ting, chinese taipei | hsu chiao-jen, chinese taipei | nicole begg, new zealand
9 | women's 10000 m points elimination | woo hyo-sook, south korea | marta ramírez, colombia | nicole begg, new zealand
10 | women's 15000 m elimination | woo hyo-sook, south korea | marta ramírez, colombia | pan yi-chin, chinese taipei"
21624,"When did Art Howe coach the Yale Bulldogs, and what was his overall record with the team?",art howe coached the yale bulldogs in the year 1912 and his overall record with the team was the yale bulldogs (independent) (1912).,howe led the yale football team as head coach for one year (1912) and compiled a 7–1–1 record.,"select year, overall from T where team = ""yale bulldogs (independent) (1912)"";",2,49,"year | overall
yale bulldogs (independent) (1912) | yale bulldogs (independent) (1912)"
16730,What shows did Marisol Nichols appear in during 1996?,"marisol nichols appeared in the shows ""my guys"", ""due south"", and ""beverly hills, 90210"" in 1996.","in 1996, marisol nichols appeared in my guys, due south, and beverly hills, 90210.",select title from T where year = 1996;,3,160,"title
my guys
due south
beverly hills, 90210"
10064,How did the last two finishers perform in the Women's 800 metre freestyle?,"the last two finishers in the women's 800 metre freestyle were sarah köhler from germany, who finished in 8th place with a time of 8:27.75, and lotte friis from denmark, who finished in 7th place with a time of 8:24.",denmark's lotte friis recorded a time of 8:24.50 and germany's sarah köhler recorded a time of 8:27.75 at the olympics.,"select rank, name, nationality, time from T order by row_number desc limit 2;",8,56,"rank | name | nationality | time
8.0 | sarah köhler | germany | 8:27.75
7.0 | lotte friis | denmark | 8:24.5"
21159,How did the Unionist Candidate perform in the East Antrim election in the 1910's?,"the unionist candidate, robert mccalmont, won the election in east antrim in the 1910's with 15,206 votes.","the unionist candidate had a victory by 15,206 votes to sinn féin's 861 votes.",select * from T,42,42,"row_number | party | party1 | candidate | votes | _ | ±
0 | none | irish unionist | robert mccalmont | 15206 | 94.6 | n/a
1 | none | sinn féin | daniel dumigan | 861 | 5.4 | n/a
2 | majority | majority | majority | 14345 | 89.3 | n/a
3 | turnout | turnout | turnout | 16067 | 64.8 | n/a
4 | registered electors | registered electors | registered electors | 24798 | nan | none
5 | none | irish unionist hold | irish unionist hold | swing | nan | none"
12617,Who finished 2nd at the 2014 Commonwealth games and what time did they achieve?,adam gemili finished 2nd at the 2014 commonwealth games in the 100m event with a time of 10.1 seconds.,"in the 2014 commonwealth games, gemili finished the 100m in second position with a time of 10.10 seconds.","select competition, position, event, notes from T where year = 2014 and position = ""2nd"";",8,175,"competition | position | event | notes
commonwealth games | 2nd | 100m | 10.1
commonwealth games | 2nd | 4 × 100 m relay | 38.02"
21070,"When was ""I've Got a Feeling"" released?","""i've got a feeling"" was released on october 7, 1997.","""i've got a feeling"" was released, through atlantic, in the united states on october 7, 1997 and in australia in 1998.",select date from T where row_number = 0;,1,15,"date
1997-10-7"
13839,What and when were Tom Felton's first two roles?,"tom felton's first two roles were in ""the borrowers"" (1997) and ""anna and the king"" (1999).",tom felton made his debut in the role of peagreen clock in the borrowers in 1997 and portrayed louis t. leonowens in anna and the king in 1999.,"select title, year from T limit 2;",4,145,"title | year
the borrowers | 1997
anna and the king | 1999"
20930,How many votes did Labour beat the National British Party by?,labour beat the national british party by 192 votes.,labour defeated the british national party by 192 votes.,select * from T,56,56,"row_number | party | party1 | candidate | votes | _ | ±
0 | none | labour | mick corser | 913 | 38.9 | 6.8
1 | none | bnp | andrew terry | 721 | 30.7 | 2.3
2 | none | conservative | sheila courts | 410 | 17.4 | 3.7
3 | none | liberal democrat | bernard wright | 174 | 7.4 | 6.4
4 | none | green | ronnie cashmore | 132 | 5.6 | 5.6
5 | majority | majority | majority | 192 | 8.2 | 7.3
6 | turnout | turnout | turnout | 2350 | 27.4 | 1.2
7 | none | labour hold | labour hold | swing | 4.5 | nan"
12516,What were the results of the 1990 Colorado gubernatorial election?,the results of the 1990 colorado gubernatorial election were as follows:,"democrat roy romer defeated republican nominee, john andrews with 61.89% of the vote.","select candidate, party, votes from T;",21,49,"candidate | party | votes
roy romer | none | 626032
john andrews | none | 358403
david aitken | none | 18930
david livingston | none | 7907
majority | majority | 267629
turnout | turnout | 1011272
democratic hold | none | swing"
17544,Which player had the lowest individual score and by how much was it lower than any other player?,"the player with the lowest individual score in the 1980 eisenhower trophy was david suddards, and his score was 11 points lower than any other player.","hal sutton had the lowest individual score of 12-under-par 276, six strokes better than any other player.","select player, min(score) - max(score) as difference from T;",2,60,"player | difference
david suddards | -11"
21045,"In the 86th United States Congress, What date was the end of Richard M. Simpson's service, and who was his successor?","the end of richard m. simpson's service in the 86th united states congress was on january 7, 1960. his successor was douglas h. elliott.","in the 86th united states congress, richard m. simpson (r) served until january 7, 1960 and was succeeded by douglas h. elliott (r) on april 26, 1960, who served until june 19, 1960.",select * from T,102,102,"row_number | district | vacator | reason_for_change | successor | date_of_successors_formal_installation
0 | missouri 4th | george h. christopher (d) | died 1959-1-23 | william j. randall (d) | 1959-3-3
1 | new york 43rd | daniel a. reed (r) | died 1959-2-19 | charles goodell (r) | 1959-5-26
2 | ohio 6th | james g. polk (d) | died 1959-4-28 | ward miller (r) | 1960-11-8
3 | hawaii territory at-large | john a. burns (d) | hawaii achieved statehood. | seat eliminated 1959-8-21 | seat eliminated 1959-8-21
4 | hawaii at-large | new seat | hawaii achieved statehood 1959-8-21 | daniel inouye (d) | 1959-8-21
5 | illinois 12th | charles a. boyle (d) | died 1959-11-4 | vacant | not filled this term
6 | iowa 4th | steven v. carter (d) | died 1959-11-4 | john h. kyl (r) | 1959-12-15
7 | pennsylvania 17th | alvin bush (r) | died 1959-11-5 | herman t. schneebeli (r) | 1960-4-26
8 | new york 23rd | isidore dollinger (d) | resigned 1959-12-31 | jacob h. gilbert (d) | 1960-3-8
9 | pennsylvania 18th | richard m. simpson (r) | died 1960-1-7 | douglas h. elliott (r) | 1960-4-26
10 | north carolina 12th | david m. hall (d) | died 1960-1-29 | roy a. taylor (d) | 1960-6-25
11 | washington 3rd | russell v. mack (r) | died 1960-3-28 | julia butler hansen (d) | 1960-11-8
12 | pennsylvania 18th | douglas h. elliott (r) | died 1960-6-19 | j. irving whalley (r) | 1960-11-8
13 | north dakota at-large | quentin n. burdick (d) | resigned 1960-8-8, after becoming u.s. senator | vacant | not filled this term
14 | massachusetts 5th | edith nourse rogers (r) | died 1960-9-10 | vacant | not filled this term
15 | wyoming at-large | edwin k. thomson (r) | died 1960-12-9 | vacant | not filled this term
16 | new york 5th | albert h. bosch (r) | resigned 1960-12-31, after being elected judge of court of queens county | vacant | not filled this term"
10083,"What roles did Sandra Peabody play in Tarot and Annie Get Your Gun, respectively?","sandra peabody played the role of ""the sun"" in tarot and the role of ""minnie"" in annie get your gun.","peabody appeared as the sun in an off-broadway production of tarot (1970), which she followed with the role as minnie in annie get your gun (1973-1974).","select role from T where title = ""tarot"" or title = ""annie get your gun"";",2,10,"role
the sun
minnie"
1789,How close was Texas' 21st congressional district election?,"the texas' 21st congressional district election was close with lamar smith, the republican candidate, receiving 169,924 votes and lainey melnick, the democratic candidate, receiving 65,834 votes. lamar smith won with a majority of 96,929 votes. the turnout for the election was 236","in the texas's 21st congressional district election, lamar smith defeated lainey melnick with 68.9 percent of the vote, with a majority of 96929 votes.","select candidate, votes, ± from T;",18,42,"candidate | votes | ±
lamar smith | 169924 | 11.09
lainey melnick | 65834 | 3.39
james arthur strohm | 7687 | 16.7
majority | 96929 | nan
turnout | 236284 | nan
republican hold | swing | nan"
17067,What are all the non-Leo awards for which Rickards received a solo nomination?,"rickards received solo nominations for the teen choice awards in the categories of female breakout star, choice tv actress - fantasy/sci-fi, and choice tv actress - action.","rickards has been nominated for five teen choice awards: four for choice tv actress in fantasy, sci-fi, or action, and one for female breakout star in 2014.","select award, category, nominee from T where nominee = ""emily bett rickards"" and award != ""leo awards"";",15,105,"award | category | nominee
teen choice awards | female breakout star | emily bett rickards
teen choice awards | choice tv actress - fantasy/sci-fi | emily bett rickards
teen choice awards | choice tv actress - fantasy/sci-fi | emily bett rickards
teen choice awards | choice tv actress - action | emily bett rickards
teen choice awards | choice tv actress - action | emily bett rickards"
11595,What films did Aaron Taylor-Johnson appear in in 2017 and 2018?,"aaron taylor-johnson appeared in ""the wall"" in 2017 and ""outlaw king"" and ""1000000 little pieces"" in 2018.","in 2017, aaron taylor-johnson appeared in doug liman's the wall and, in 2018, appeared in outlaw king as well as a milliom little pieces.","select title, year from T where year in (2017, 2018);",6,168,"title | year
the wall | 2017
outlaw king | 2018
1000000 little pieces | 2018"
10549,What awards did Aksoy win for Love in Another Language?,aksoy won the best actress award for love in another language at the ankara international film festival in 2009 and at the bursa silk road film festival in 2009.,saadet aksoy's 2009 love in another language brought her best actress awards at ankara international film festival and bursa silk road film festival.,select * from T,54,54,"row_number | year | organisation | award | work | result
0 | 2007 | sarajevo film festival | best actress | egg | won
1 | 2007 | antalya golden orange film festival | best newcomer | egg | won
2 | 2007 | valdivia international film festival | best actress | egg | won
3 | 2008 | siyad awards | best actress in a leading role | egg | won
4 | 2008 | yeşilçam film awards | young talent | egg | won
5 | 2008 | ankara international film festival | best female newcomer | egg | won
6 | 2008 | i̇smail dümbüllü awards | best film actress | egg | won
7 | 2009 | ankara international film festival | best actress | love in another language | won
8 | 2009 | bursa silk road film festival | best actress | love in another language | won"
2034,How many Best Actress Awards did Choi win in 1994 and where were they from?,choi myung-gil won two best actress awards in 1994. she won the best actress award at the 16th 3 continents festival and the 15th blue dragon film awards.,"choi received 2 best actress awards for rosy life, one at the 16th three continents festival and the other in the 15th blue dragon film awards.","select award, category from T where year = 1994 and result = 'won' and category = 'best actress';",4,156,"award | category
16th 3 continents festival | best actress
15th blue dragon film awards | best actress"
1770,What year was Rosie Huntington-Whiteley most successful?,rosie huntington-whiteley was most successful in the year 2011.,in 2011 rosie huntington-whiteley won 3 awards and was nominated for the teen choice awards choice movie actress: summer award.,"select year from T where result = ""won"" group by year order by count(*) desc limit 1;",1,72,"year
2011"
8524,Who were the top 2 finishers in the 1952 Summer Olympics – Men's 110 metres hurdles?,the top 2 finishers in the 1952 summer olympics - men's 110 metres hurdles were harrison dillard and jack davis.,automatic timing showed dillard had a time of 13.91 and davis recorded a time of 14.00.,"select rank, name from T order by rank asc limit 2;",4,36,"rank | name
None | harrison dillard
None | jack davis"
33,What movies and roles did Morris play in 1997?,"in 1997, haviland morris played the role of korben dallas's mother in the movie ""the fifth element"" and the role of karen pruitt in the movie ""home alone 3"".",morris played korben dallas's mother in the fifth element and karen pruitt in home alone 3 in 1997.,"select title, role from T where year = 1997;",4,100,"title | role
the fifth element | korben dallas's mother
home alone 3 | karen pruitt"
7783,Who received the silver and bronze medals for the women's 400 metres hurdles at the 1992 Summer Olympics?,sandra farmer-patrick (usa) received the silver medal and janeene vickers (usa) received the bronze medal for the women's 400 meters hurdles at the 1992 summer olympics.,"farmer-patrick was in second, winning silver in 53.69 secs, while vickers narrowly held on for the bronze medal from ledovskaya, both being timed at 54.31 secs.",select * from T,32,32,"row_number | rank | final | time
0 | none | sally gunnell (gbr) | 53.23
1 | none | sandra farmer-patrick (usa) | 53.69
2 | none | janeene vickers (usa) | 54.31
3 | 4. | tatyana ledovskaya (eun) | 54.31
4 | 5. | vera ordina (eun) | 54.83
5 | 6. | margarita ponomaryova (eun) | 54.83
6 | 7. | deon hemmings (jam) | 55.58
7 | — | myrtle bothma (rsa) | dnf"
9853,"What is the population breakdown of Nurpur Jattan by gender, and how many houses does it have?","the population breakdown of nurpur jattan is 401 males and 362 females, with a total population of 763. it has a total of 157 houses.","nurpur jattan has total number of 157 houses and population of 763, of which include 401 males and 362 females.","select male, female, total from T where particulars = ""population"" or particulars = ""total no. of houses"";",6,45,"male | female | total
none | none | 157
401 | 362 | 763"
1262,What did Kathryn Beaumont star in 1953?,"kathryn beaumont starred in the movie ""peter pan"" in 1953.",kathryn beaumont starred in the voice role of wendy darling in peter pan (1953).,select title from T where year = 1953;,1,65,"title
peter pan"
8567,What are the total statistics of Talwandi Mehma?,"the total statistics of talwandi mehma are as follows:
- total number of houses: 258
- total population: 1,396
- population in the age group 0-6 years: 141
- scheduled castes (sc): 984
- scheduled tribes (st): 0","talwandi mehma has total number of 258 houses and a population of 1,396 of which include 715 males and 681 females.","select particulars, total from T;",20,50,"particulars | total
total no. of houses | 258
total population | 1396
in the age group 0–p6y | 141
scheduled castes (sc) | 984
scheduled tribes (st) | 0
literates | 912
illiterate | 484
total worker | 471
main worker | 305
marginal worker | 166"
1804,Which competitions did Fabrizio Donato win gold medal?,"fabrizio donato won the gold medal in the mediterranean games in 2001, the european indoor championships in 2009, and the european championships in 2012.","fabrizio donato won gold medals at the 2001 mediterranean games with a record of 17.05 metres and the 2009 european indoor championships, a championship record of 17.59 metres.","select competition, year from T where position = ""1st"";",6,198,"competition | year
mediterranean games | 2001
european indoor championships | 2009
european championships | 2012"
12122,"Who did Wayne Kerrins play for in the third division, and what seasons did he play for them?","wayne kerrins played for fulham in the third division, and he played for them in the seasons 1986-87, 1987-88, and 1988-89.","wayne kerrins played for fulham in the third division in 1986–87, 1987–88, and 1988–89.","select club, season from T where division = ""third division"";",6,108,"club | season
fulham | 1986–87
fulham | 1987–88
fulham | 1988–89"
8270,Which albums did Maylee Todd release on the Do Right Music label and in which years?,"maylee todd released the albums ""choose your own adventure"" in 2010, ""do right! serato pressing featuring maylee todd"" in 2011, ""escapology"" in 2013, and ""acts of love"" in 2017 on the do right music label.",maylee todd released her first album choose your own adventure in 2010 and escapology in 2013 on the do right music label.,select * from T,25,25,"row_number | year | title | label | format
0 | 2010 | choose your own adventure | do right music | cd
1 | 2011 | do right! serato pressing featuring maylee todd | do right music | 12"" vinyl & digital download
2 | 2013 | escapology | do right music | cd, lp
3 | 2014 | dirty power | ark analog | none
4 | 2017 | acts of love | do right music | cd, lp"
10502,How many males and females are there in Mithra households?,there are no males and females in mithra households.,mithra has a total number of 80 houses and a population of 350 which includes 185 males and 165 females.,"select male, female from T where particulars = ""total no. of houses"";",2,45,"male | female
none | none"
9243,What did Daniela Ramirez do in 2012?,"in 2012, daniela ramirez appeared in the movie ""american reunion"" as selena and in the movie ""premium rush"" as vanessa.","in 2012, ramirez appeared in two roles: selena in american reunion and vanessa in premium rush.","select title, role from T where year = 2012;",4,95,"title | role
american reunion | selena
premium rush | vanessa"
2255,What marathons did Feyisa Lilesa run in 2010?,"in 2010, feyisa lilesa ran in the xiamen international marathon in xiamen, china where he finished 1st, the rotterdam marathon in rotterdam, netherlands where he finished 4th, and the chicago marathon in chicago, united states where he finished 3rd.","feyisa lilesa ran at the 2010 chicago marathon, at the 2010 rotterdam marathon, and at the xiamen international marathon.","select competition, venue, position, event from T where year = 2010 and event = ""marathon"";",12,77,"competition | venue | position | event
xiamen international marathon | xiamen, china | 1st | marathon
rotterdam marathon | rotterdam, netherlands | 4th | marathon
chicago marathon | chicago, united states | 3rd | marathon"
11703,"Which of Smacksoft's albums were nominated for Best Modern Rock Album at the Korean Music Awards, and when were they nominated?","smacksoft's albums ""shines in the dark"" and ""follow your heart"" were nominated for best modern rock album at the korean music awards in 2010 and 2013, respectively.",two of smacksoft's albums were nominated for best modern rock album at the korean music awards: shines in the dark in 2010 and follow your heart in 2013.,select * from T,14,14,"row_number | year | award | category | nominated_work | result | ref
0 | 2010 | korean music awards | best modern rock album | shines in the dark | nominated | None
1 | 2013 | korean music awards | best modern rock album | follow your heart | nominated | None"
21257,"When did Anthony Alonzo win Metro Manila Film Festival awards and for which works, respectively?","anthony alonzo won metro manila film festival awards in 1983 for the work ""bago kumalat ang kamandag"" and in 1987 for the work ""anak badjao"".",anthony alonzo won the best actor awards from the metro manila film festival for bago kumalat ang kamandag in 1983 and for anak badjao in 1987.,"select year, work from T where award_giving_body = ""metro manila film festival"" and result = ""won"";",4,12,"year | work
1983 | bago kumalat ang kamandag
1987 | anak badjao"
9053,What were the lead roles played by Minal Khan in 2017?,"in 2017, minal khan played the lead roles as hina afaq in ""sun yaara"", semi in ""malkin"", haya in ""beti to main bhi hun"", khadija in ""laut ke chalay aana"", kiran in ""dil nawaz",khan's first lead role was in urdu 1's beti to main bhi hun (2017) as haya and followed with another lead role in hum tv's parchayee as pari.,"select title, role from T where year = 2017;",12,120,"title | role
sun yaara | hina afaq
malkin | semi
beti to main bhi hun | haya
laut ke chalay aana | khadija
dil nawaz | kiran
parchayee | pari"
17677,What were the Peak Positions on the Mainstream chart of three New Medicine's singles in 2010 and 2011?,"the peak positions on the mainstream chart of three new medicine's singles in 2010 and 2011 were as follows:
- ""laid"" reached a peak position of 32.
- ""race you to the bottom"" reached a peak position of 19.
- ""rich kids"" reached a peak position","""laid"" hit number 32, ""race you to the bottom"" hit number 19 and rich kids"" hit number 31 on the mainstream chart.","select title, peak_positions from T where year in (2010, 2011) and peak_positions != ""—"";",6,36,"title | peak_positions
""laid"" | 32
""race you to the bottom"" | 19
""rich kids"" | 31"
2127,What were the results of the 1956 United States presidential election in Wyoming?,"in the 1956 united states presidential election in wyoming, dwight d. eisenhower (inc.) received 74,573 votes and adlai stevenson received 49,554 votes.","wyoming was won by dwight d. eisenhower with 60.08% of the vote, against adlai stevenson with 39.92% of the vote.","select candidate, votes from T where party != ""total votes"";",4,18,"candidate | votes
dwight d. eisenhower (inc.) | 74573
adlai stevenson | 49554"
15547,How was Hawkins doing in the 2014 Commonwealth Games?,"in the 2014 commonwealth games, callum hawkins finished in 20th place in the 10000 m event, which was held in glasgow, united kingdom.","hawkins competed at the 2014 commonwealth games held in glasgow in the 10,000 metres, finishing 20th.","select competition, venue, position, event from T where year = 2014 and competition = ""commonwealth games"";",4,133,"competition | venue | position | event
commonwealth games | glasgow, united kingdom | 20th | 10000 m"
320,Did Joshua Jackson ever star in the Simpsons?,"yes, joshua jackson starred in the simpsons in 2000 as jesse grass.","in 2000, joshua jackson starred in the simpsons, voicing the character of jesse grass in the episode ""lisa the tree hugger"".","select * from T where title = ""the simpsons"";",5,80,"row_number | year | title | role | notes
7 | 2000 | the simpsons | jesse grass | voice; episode: ""lisa the tree hugger"""
20746,What year did Allkja play for Elbasani in the Albanian Second Division?,allkja played for elbasani in the albanian second division in the season 2017-2018.,allkja played for elbasani in the 2017–18 albanian second division.,"select season from T where club = ""elbasani"" and league = ""albanian second division"";",1,60,"season
2017–18"
21526,"Where did Marcos Acuña have the most matches, goals, and assists totals and assists and how many of each did he have.?",there is no information available in the table to answer the question.,"at ferro, acuña played a total of 117 matches, with 5 goals and 23 assists.","select club, league, season, total, total1, total2 from T order by total desc limit 1;",6,256,"club | league | season | total | total1 | total2
ferro carril oeste | none | none | none | none | none"
1431,Do any cities have more than one museum?,"yes, bujumbura has more than one museum.",the living museum of bujumbura and the geological museum of burundi are located in bujumbura.,"SELECT location, COUNT(*) FROM T GROUP BY location HAVING COUNT(*) > 1;",2,18,"location | COUNT(*)
bujumbura | 2"
1516,What was Owen McDonnell's first role for something made by RTE?,"owen mcdonnell's first role for something made by rte was sergeant jack driscoll in the tv show ""single-handed"".",owen mcdonnell played sergeant jack driscoll in rté's single-handed (2007-10).,"select title, role from T where notes = ""rté"" order by years asc limit 1;",2,120,"title | role
single-handed | sergeant jack driscoll"
