id,question,response,answer,sql,r_num_cell,t_num_cell,linear_table
21615,"When was the single ""Whenever You Need Somebody"" first released?","the single ""whenever you need somebody"" was first released in 1987.","""whenever you need somebody"" was released in 1987.",select * from T,448,448,"row_number | year | title | peak_chart_positions | peak_chart_positions1 | peak_chart_positions2 | peak_chart_positions3 | peak_chart_positions4 | peak_chart_positions5 | peak_chart_positions6 | peak_chart_positions7 | peak_chart_positions8 | peak_chart_positions9 | peak_chart_positions10 | certifications | album
0 | year | title | uk | aus | bel | can | ger | ire | nl | nz | swe | swi | us | certifications | album
1 | 1987 | ""never gonna give you up"" | 1 | 1 | 1 | 1 | 1 | 2 | 1 | 1 | 1 | 2 | 1 | uk: platinum can: gold ger: gold swe: gold us: gold au: gold | whenever you need somebody
2 | 1987 | ""whenever you need somebody"" | 3 | 3 | 2 | — | 1 | 3 | 2 | 9 | 1 | 1 | — | none | whenever you need somebody
3 | 1987 | ""when i fa in love"" ""my arms keep missing you"" | 2 | 5 | 1 | — | 6 | 2 | 3 | 25 | 12 | 14 | — | uk: silver | whenever you need somebody
4 | 1988 | ""together forever"" | 2 | 19 | 2 | 1 | 5 | 1 | 12 | 10 | — | 14 | 1 | can: gold | whenever you need somebody
5 | 1988 | ""it would take a strong strong man"" | — | — | — | 1 | — | — | — | — | — | — | 10 | none | whenever you need somebody
6 | 1988 | ""she wants to dance with me"" | 6 | 15 | 3 | 1 | 10 | 4 | 8 | 10 | 12 | 12 | 6 | none | hold me in your arms
7 | 1988 | ""take me to your heart"" | 8 | 41 | 11 | — | 10 | 5 | 11 | 43 | 10 | 16 | — | none | hold me in your arms
8 | 1989 | ""hold me in your arms"" | 10 | 77 | 25 | — | 32 | 7 | 35 | — | — | — | — | none | hold me in your arms
9 | 1989 | ""giving up on love"" | — | — | — | 45 | — | — | — | — | — | — | 38 | none | hold me in your arms
10 | 1989 | ""ain't too proud to beg"" | — | — | — | — | — | — | — | — | — | — | 89 | none | hold me in your arms
11 | 1991 | ""cry for help"" | 7 | 13 | 5 | 4 | 14 | 9 | 11 | — | 17 | — | 7 | none | free
12 | 1991 | ""move right out"" | 58 | 110 | — | 36 | 52 | — | 66 | — | — | — | 81 | none | free
13 | 1991 | ""never knew love"" | 70 | — | 42 | — | — | — | — | — | — | — | — | none | free
14 | 1993 | ""the ones you love"" | 48 | 132 | — | 54 | 54 | — | — | — | — | — | — | none | body & soul
15 | 1993 | ""hopelessly"" | 33 | — | — | 8 | — | — | — | — | — | — | 28 | none | body & soul
16 | 2001 | ""sleeping"" | — | — | — | — | 60 | — | — | — | — | 69 | — | none | keep it turned on
17 | 2001 | ""keep it turned on"" | — | — | — | — | — | — | — | — | — | — | — | none | keep it turned on
18 | 2010 | ""lights out"" | 97 | — | — | — | — | — | — | — | — | — | — | none | my red book (unreleased)
19 | 2012 | ""goodbye but not the end"" | — | — | — | — | — | — | — | — | — | — | — | none | my red book (unreleased)
20 | 2016 | ""keep singing"" | 127 | — | 75 | — | — | — | — | — | — | — | — | none | 50
21 | 2016 | ""angels on my side"" | — | — | — | — | — | — | — | — | — | — | — | none | 50
22 | 2016 | ""dance"" | — | — | — | — | — | — | — | — | — | — | — | none | 50
23 | 2018 | ""beautiful life"" | — | — | 69 | — | — | — | — | — | — | — | — | none | beautiful life
24 | 2018 | ""empty heart"" | — | — | — | — | — | — | — | — | — | — | — | none | beautiful life
25 | 2018 | ""try"" | — | — | — | — | — | — | — | — | — | — | — | none | beautiful life
26 | 2018 | ""she makes me"" | — | — | — | — | — | — | — | — | — | — | — | none | beautiful life
27 | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory. | ""—"" denotes a single that did not chart or was not released in that territory."
1745,For what club did O'Connor play the most?,o'connor played the most for gillingham.,"o'connor made 148 appearances and played for five seasons with bournemouth from 1985 to 1990, more than with any other club.",select club from T group by club order by count(*) desc limit 1;,1,406,"club
gillingham"
11883,What years did Vasili Kuznetsov work as the Chairman of the Presidium of the supreme soviet union?,"vasili kuznetsov worked as the chairman of the presidium of the supreme soviet union from november 10, 1982, to june 16, 1983, and from february 9, 1984, to april 11, 1984, and from march 10,","vasili kuznetsov was chairman of the presidium of the supreme soviet of the soviet union from 1982 to 1983, for a second time in 1984 and for a third time in 1985.","select term_of_office from T where name_birth–death = ""vasili kuznetsov (1901–1990)"";",3,132,"term_of_office
(1982-11-101983-6-16,p218d)
(1984-2-91984-4-11,p62d)
(1985-3-101985-7-27,p139d)"
17130,How effective was Jean-Luc Grand-Pierre's performance during his debit in the American Hockey League? ,"there is no information provided in the table or sql query about jean-luc grand-pierre's performance during his debut in the american hockey league. therefore, it is not possible to determine how effective his performance was.","after playing four seasons in the quebec major junior hockey league, jean-luc grand-pierre made debut in the american hockey league with the rochester americans during the 1997–98 season, with ten points and 211 penalty minutes in 75 games.","select regular_season, regular_season1, regular_season2, regular_season3, regular_season4, playoffs, playoffs1, playoffs2, playoffs3, playoffs4 from T;",300,480,"regular_season | regular_season1 | regular_season2 | regular_season3 | regular_season4 | playoffs | playoffs1 | playoffs2 | playoffs3 | playoffs4
None | gp | g | a | pts | pim | None | gp | g | a
None | 46 | 1 | 4 | 5 | 27 | None | — | — | —
None | 59 | 10 | 13 | 23 | 126 | None | — | — | —
None | 67 | 13 | 21 | 34 | 209 | None | 13 | 1 | 4
None | 58 | 9 | 24 | 33 | 196 | None | 13 | 5 | 8
None | 75 | 4 | 6 | 10 | 211 | None | 4 | 0 | 0
None | 16 | 0 | 1 | 1 | 17 | None | — | — | —
None | 55 | 5 | 4 | 9 | 90 | None | — | — | —
None | 11 | 0 | 0 | 0 | 15 | None | 4 | 0 | 0
None | 62 | 5 | 8 | 13 | 124 | None | 17 | 0 | 1
None | 64 | 1 | 4 | 5 | 73 | None | — | — | —
None | 81 | 2 | 6 | 8 | 90 | None | — | — | —
None | 41 | 1 | 0 | 1 | 64 | None | — | — | —
None | 2 | 1 | 0 | 1 | 6 | None | — | — | —
None | 16 | 0 | 0 | 0 | 12 | None | — | — | —
None | 27 | 2 | 2 | 4 | 26 | None | — | — | —
None | 13 | 1 | 0 | 1 | 14 | None | — | — | —
None | — | — | — | — | — | None | 4 | 0 | 1
None | 11 | 1 | 1 | 2 | 45 | None | 10 | 1 | 2
None | 45 | 10 | 9 | 19 | 176 | None | — | — | —
None | 44 | 9 | 14 | 23 | 63 | None | 9 | 1 | 1
None | 63 | 3 | 5 | 8 | 82 | None | — | — | —
None | 47 | 5 | 8 | 13 | 135 | None | 9 | 1 | 1
None | 7 | 0 | 0 | 0 | 10 | None | — | — | —
None | 37 | 6 | 2 | 8 | 146 | None | 10 | 0 | 3
None | 7 | 0 | 0 | 0 | 47 | None | — | — | —
None | 19 | 2 | 3 | 5 | 55 | None | — | — | —
None | 44 | 2 | 5 | 7 | 91 | None | 6 | 1 | 1
None | 7 | 3 | 3 | 6 | 12 | None | — | — | —
None | 269 | 7 | 13 | 20 | 311 | None | 4 | 0 | 0"
17125,How was Ben Howland's first season at Mississippi State?,"in ben howland's first season at mississippi state, the team had an overall record of 14-17 and a conference record of 7-11. they finished in 11th place in the conference and did not participate in any postseason tournaments.","in ben howland's first season, mississippi state finished with a record of 14–17 (7–11 sec).","select overall, conference, standing, postseason from T where team = ""mississippi state"";",16,231,"overall | conference | standing | postseason
14–17 | 7–11 | 11th | none
16–16 | 6–12 | 12th | none
25–12 | 9–9 | t–7th | nit semifinal
23–11 | 10–8 | t–6th | ncaa division i round of 64"
2201,What events do Eric Cray hold the record for?,eric cray holds the record for the 100m and 400m hurdles events.,eric cray holds the filipino record in the 400 metres hurdles and 100 metres.,"select event, record from T where athlete = ""eric cray"";",4,240,"event | record
100 m | 10.25 (0e-55 m/s)
400 m hurdles | 48.98"
12771,How did Boyzone perform as a band during the year 2010 with their releases?,"in 2010, boyzone had two releases. their single ""gave it all away"" reached the top position on the charts, while their single ""love is a hurricane"" reached number 39.","in 2010, ""gave it all away"", the single from boyzone discography's album brother, peaked at number 9 in the uk and number 1 in ireland; ""love is a hurricane"" was also released as a single from the album.","select single, year, peak_chart_positions from T where year = 2010;",6,450,"single | year | peak_chart_positions
""gave it all away"" | 2010 | 1
""love is a hurricane"" | 2010 | 39"
20795,How well did Peralta play at the 2015 CONCACAF Gold Cup?,"the given sql query does not provide any information about peralta's performance at the 2015 concacaf gold cup. therefore, we cannot determine how well he played at the tournament based on the given table and query.","peralta played at the 2015 concacaf gold cup and scored a 6–0 defeat of cuba in chicago, as well as a 3–1 win against jamaica in philadelphia.","select goal, date, venue, opponent, score, result, competition from T;",182,208,"goal | date | venue | opponent | score | result | competition
1.0 | 2011-8-10 | lincoln financial field, philadelphia, united states | united states | 1–0 | 1–1 | friendly
2.0 | 2012-1-25 | reliant stadium, houston, united states | venezuela | 3–1 | 3–1 | friendly
3.0 | 2012-10-12 | bbva compass stadium, houston, united states | guyana | 1–0 | 3–0 | 2014 fifa world cup qualification
4.0 | 2012-10-16 | estadio corona, torreón, mexico | el salvador | 1–0 | 2–0 | 2014 fifa world cup qualification
5.0 | 2013-8-14 | metlife stadium, east rutherford, united states | ivory coast | 2–0 | 4–1 | friendly
6.0 | 2013-8-14 | metlife stadium, east rutherford, united states | ivory coast | 3–0 | 4–1 | friendly
7.0 | 2013-9-6 | estadio azteca, mexico city, mexico | honduras | 1–0 | 1–2 | 2014 fifa world cup qualification
8.0 | 2013-10-11 | estadio azteca, mexico city, mexico | panama | 1–0 | 2–1 | 2014 fifa world cup qualification
9.0 | 2013-10-15 | estadio nacional de costa rica, san josé, costa rica | costa rica | 1–1 | 1–2 | 2014 fifa world cup qualification
10.0 | 2013-10-30 | qualcomm stadium, san diego, united states | finland | 3–1 | 4–2 | friendly
11.0 | 2013-11-13 | estadio azteca, mexico city, mexico | new zealand | 2–0 | 5–1 | 2014 fifa world cup qualification
12.0 | 2013-11-13 | estadio azteca, mexico city, mexico | new zealand | 4–0 | 5–1 | 2014 fifa world cup qualification
13.0 | 2013-11-20 | westpac stadium, wellington, new zealand | new zealand | 1–0 | 4–2 | 2014 fifa world cup qualification
14.0 | 2013-11-20 | westpac stadium, wellington, new zealand | new zealand | 2–0 | 4–2 | 2014 fifa world cup qualification
15.0 | 2013-11-20 | westpac stadium, wellington, new zealand | new zealand | 3–0 | 4–2 | 2014 fifa world cup qualification
16.0 | 2014-1-30 | alamodome, san antonio, united states | south korea | 1–0 | 4–0 | friendly
17.0 | 2014-6-13 | arena das dunas, natal, brazil | cameroon | 1–0 | 1–0 | 2014 fifa world cup
18.0 | 2015-7-9 | soldier field, chicago, united states | cuba | 1–0 | 6–0 | 2015 concacaf gold cup
19.0 | 2015-7-9 | soldier field, chicago, united states | cuba | 3–0 | 6–0 | 2015 concacaf gold cup
20.0 | 2015-7-9 | soldier field, chicago, united states | cuba | 5–0 | 6–0 | 2015 concacaf gold cup
21.0 | 2015-7-26 | lincoln financial field, philadelphia, united states | jamaica | 3–0 | 3–1 | 2015 concacaf gold cup
22.0 | 2015-10-10 | rose bowl, pasadena, united states | united states | 2–1 | 3–2 | 2015 concacaf cup
23.0 | 2016-6-9 | rose bowl, pasadena, united states | jamaica | 2–0 | 2–0 | copa américa centenario
24.0 | 2016-10-11 | toyota park, bridgeview, united states | panama | 1–0 | 1–0 | friendly
25.0 | 2017-6-21 | fisht olympic stadium, sochi, russia | new zealand | 2–1 | 2–1 | 2017 fifa confederations cup
26.0 | 2017-10-10 | estadio olímpico metropolitano, san pedro sula, honduras | honduras | 1–0 | 2–3 | 2018 fifa world cup qualification"
10421,Did Grease set a record for longest performance run?,"yes, grease set a record for the longest performance run with 3,388 performances.","closed in 1980, grease's 3,388-performance run was the longest in broadway history and was surpassed by a chorus line on september 29, 1983.","select title, performances from T where title = ""grease"";",2,144,"title | performances
grease | 3388"
12033,What did Gerd Muller do after his career in the Bundesliga?,"after his career in the bundesliga, gerd muller played for tsv 1861 nördlingen in the bezirksliga schwaben during the 1963-64 season, and then he played for bayern munich in the regionalliga süd during the 1964-65 season.","after his career in the bundesliga, gerd müller moved to the fort lauderdale strikers of the north american soccer league (nasl) in 1979.","select club_performance, club_performance1, club_performance2, league, league1, cup, cup1, continental, continental1, continental2, other, other1, total, total1 from T where league != ""Bundesliga"";",350,400,"club_performance | club_performance1 | club_performance2 | league | league1 | cup | cup1 | continental | continental1 | continental2 | other | other1 | total | total1
season | club | league | apps | goals | apps | goals | comp | apps | goals | apps | goals | apps | goals
1963–64 | tsv 1861 nördlingen | bezirksliga schwaben | 31 | 51 | — | — | — | — | — | — | — | 31 | 51
1964–65 | bayern munich | regionalliga süd | 26 | 33 | — | — | — | — | — | 6 | 6 | 32 | 39
1965–66 | bayern munich | bundesliga | 33 | 15 | 6 | 1 | — | — | — | — | — | 39 | 16
1966–67 | bayern munich | bundesliga | 32 | 28 | 4 | 7 | cwc | 9 | 8 | — | — | 45 | 43
1967–68 | bayern munich | bundesliga | 34 | 19 | 4 | 4 | cwc | 8 | 7 | — | — | 46 | 30
1968–69 | bayern munich | bundesliga | 30 | 30 | 5 | 7 | — | — | — | — | — | 35 | 37
1969–70 | bayern munich | bundesliga | 33 | 38 | 3 | 4 | ec | 2 | 0 | — | — | 38 | 42
1970–71 | bayern munich | bundesliga | 32 | 22 | 7 | 10 | icfc | 8 | 7 | — | — | 47 | 39
1971–72 | bayern munich | bundesliga | 34 | 40 | 6 | 5 | cwc | 8 | 5 | — | — | 48 | 50
1972–73 | bayern munich | bundesliga | 33 | 36 | 5 | 7 | ec | 6 | 11 | 5 | 12 | 49 | 67
1973–74 | bayern munich | bundesliga | 34 | 30 | 4 | 5 | ec | 10 | 8 | — | — | 48 | 43
1974–75 | bayern munich | bundesliga | 33 | 23 | 3 | 2 | ec | 7 | 5 | — | — | 43 | 30
1975–76 | bayern munich | bundesliga | 22 | 23 | 6 | 7 | ec | 7 | 5 | — | — | 34 | 35
1976–77 | bayern munich | bundesliga | 25 | 28 | 4 | 11 | ec | 4 | 5 | — | — | 37 | 48
1977–78 | bayern munich | bundesliga | 33 | 24 | 3 | 4 | uefa | 6 | 4 | — | — | 42 | 32
1978–79 | bayern munich | bundesliga | 19 | 9 | 2 | 4 | — | — | — | — | — | 21 | 13
total | bayern munich | bundesliga | 427 | 365 | none | none | none | none | none | none | none | none | none
total | bayern munich | bayern total | 453 | 398 | 62 | 78 | — | 79 | 69 | 11 | 18 | 605 | 564
german football total | german football total | german football total | 484 | 449 | 62 | 78 | — | 79 | 69 | 13 | 20 | 636 | 615
1979 | fort lauderdale strikers | nasl | 25 | 19 | — | — | — | — | — | — | — | 25 | 19
1980 | fort lauderdale strikers | nasl | 29 | 14 | — | — | — | — | — | — | — | 29 | 14
1981 | fort lauderdale strikers | nasl | 17 | 5 | — | — | — | — | — | — | — | 17 | 5
total | fort lauderdale strikers | nasl | 71 | 38 | — | — | — | — | — | — | — | 71 | 38
career total | career total | career total | 555 | 487 | 62 | 78 | — | 79 | 69 | 11 | 18 | 707 | 653"
14820,Which people served as representative of the Pennsylvania 9 district during which dates?,"david bard served as the representative of the pennsylvania 9 district until december 11, 1815. thomas burnside then succeeded him and served until december 3, 1816. after that, william p. maclay took over as the representative of the pennsylvania 9 district.","david bard (dr) served as representative until march 12, 1815, and was replaced by thomas burnside (dr) from december 11, 1815, until april, 1816 and later by william p. maclay (dr), starting december 3, 1816.","select vacator, successor, date_of_successors_formal_installation from T where district = ""pennsylvania 9"";",6,192,"vacator | successor | date_of_successors_formal_installation
david bard (dr) | thomas burnside (dr) | 1815-12-11
thomas burnside (dr) | william p. maclay (dr) | 1816-12-3"
16253,What was the overall score for Muskingum during 1925 to 1927?,muskingum had an overall score of 17-2 in the 1925-26 season and 19-2 in the 1926-27 season.,"during the 1925–26 and 1926–27 season, lange led the muskingum basketball team to records of 17–2 and 19–2.","select overall, season from T where team = ""muskingum"" and season between ""1925"" and ""1927"";",4,189,"overall | season
17–2 | 1925–26
19–2 | 1926–27"
