id,statement,response,label,prediction,sql,r_num_cell,t_num_cell
2-12523044-5.html.csv,kenneth ferrie and geoff ogilvy were the only players to score a + 1 to par,"Based on the table, kenneth ferrie and geoff ogilvy were the only players who scored a +1 to par, therefore, the claim is true.",1,1,"SELECT player, to_par FROM T WHERE to_par = '+ 1';",4,60
2-12523044-5.html.csv,steve stricker has the best score out of all of the players from the united states,"Based on the table and the SQL query, Steve Stricker has the lowest score of 139 among all the players from the United States. Therefore, the claim is true.",0,1,"SELECT player, score FROM T WHERE country = 'united states' ORDER BY score ASC LIMIT 1;",2,60
2-12523044-5.html.csv,there are 5 players that are from the united states,"Based on the table, there are indeed 5 players from the United States, so the claim is true.",1,1,SELECT player FROM T WHERE country = 'united states';,5,60
2-12523044-5.html.csv,steve stricker of of scotland had lower score than of phil mickelson of united states,"Based on the table, Steve Stricker of Scotland does not appear in the table, therefore we cannot compare their scores. The claim is inconclusive.",0,0,"SELECT player, country, score FROM T WHERE (player = 'steve stricker' AND country = 'scotland') OR (player = 'phil mickelson' AND country = 'united states');",3,60
2-12523044-5.html.csv,pádraig harrington and graeme mcdowell are both fron northern ireland,"Based on the table, only Graeme McDowell is listed as being from Northern Ireland. Therefore, the claim that Pádraig Harrington and Graeme McDowell are both from Northern Ireland is false.",0,0,"SELECT player, country FROM T WHERE country = 'northern ireland' AND (player = 'pádraig harrington' OR player = 'graeme mcdowell');",2,60
2-12523044-5.html.csv,kenneth ferrie and geoff ogilvy of australia were the only players to score a + 1 to par,"Based on the table, kenneth ferrie and geoff ogilvy of australia were the only players to score a + 1 to par, therefore, the claim is true.",1,1,"SELECT player, to_par FROM T WHERE to_par = '+ 1';",4,60
2-12523044-5.html.csv,steve stricker of united states has the lowest score among all the players,"Based on the table, Colin Montgomerie from Scotland has the lowest score of 140. Therefore, the claim is false.",1,0,"SELECT player, country, score FROM T WHERE score = (SELECT MIN(score) FROM T);",3,60
2-12523044-5.html.csv,there are more players from england than of united states during the event in the 2nd round,"Based on the provided table, there are no players from England during the event in the 2nd round. Therefore, the claim is false.",0,0,"SELECT player, country FROM T WHERE place = '2' AND country = 'england' OR country = 'united states';",10,60
2-10301911-2.html.csv,brian finch rank is greater than 3 and he finished with a time of 2:14.59.0,"Based on the table, the claim is true. Brian Finch had a rank of 7, which is greater than 3, and he finished with a time of 2:14.59.0.",1,1,"SELECT rank, time FROM T WHERE rider = 'brian finch' AND rank > 3 AND time = '2:14.59.0';",2,42
2-10301911-2.html.csv,"the time value for the rider brian finch , team suzuki and a rank greater than 3 is 2:14.59.0","Based on the table, the rider Brian Finch is not part of the team Suzuki, therefore the claim is false.",0,0,select * from T,42,42
2-15547694-1.html.csv,the agricultural panel and labour panel both have 11 total members,"Based on the table, the agricultural panel and labour panel both have a total of 11 members, therefore, the claim is true.",1,1,"SELECT agricultural_panel, labour_panel, total FROM T WHERE agricultural_panel = 11 AND labour_panel = 11;",3,66
2-15547694-1.html.csv,the party with 21 total members has 18 more members than the party with the fewest total members,"Based on the table, the party with the fewest total members has 21 members, and the party with the 21 total members has the same number of members. Therefore, the claim is false.",1,0,"SELECT party, total FROM T WHERE total = (SELECT MIN(total) FROM T) + 18;",2,66
id,statement,response,label,prediction,sql,r_num_cell,t_num_cell
2-11512626-6.html.csv,the attendance on august 26 and august 27 was 48063 and 48032,"Based on the table, the attendance on August 26 was 48063 and the attendance on August 27 was 48032. Therefore, the claim is true.",1,1,"SELECT date, attendance FROM T WHERE date = 'august 26' OR date = 'august 27';",4,203
2-11512626-6.html.csv,"when the score was 10 - 4 , the colorado rockies' record went to 68 - 70 in a game against the athletics","Based on the table, when the score was 10 - 4, the colorado rockies' record was 68 - 70, therefore, the claim is true.",1,1,SELECT record FROM T WHERE score = '10 - 4' AND opponent = 'athletics';,1,203
2-11512626-6.html.csv,on august 27 remlinger (6 - 6) took the loss as the rockies went to 64 - 70,"Based on the table, on august 27, remlinger (6 - 6) took the loss as the rockies went to 64 - 70, therefore, the claim is true.",1,1,"SELECT date, loss, record FROM T WHERE date = 'august 27' AND loss = 'remlinger (6 - 6)' AND record = '64 - 70';",3,203
2-11512626-6.html.csv,"in a game on august 30 , mogler (1 - 10) won while in a game against oquist","Based on the table, in a game on august 30, mogler (1 - 10) won while in a game against oquist, therefore, the claim is true.",0,1,select * from T,203,203
2-11512626-6.html.csv,the attendance was less than 20000 over five times between august 4th and 6th,"Based on the provided table and query results, the claim is false. The attendance was less than 20000 only twice between August 4th and 6th, not five times.",0,0,"SELECT date, attendance FROM T WHERE date >= 'august 4' AND date <= 'august 6' AND attendance < 20000;",4,203
2-11512626-6.html.csv,on august 26 the attendance was 24343 and on august 27th the attendance was 2142,"Based on the given table, there is no data for the attendance on August 26 and August 27. Therefore, the claim is false.",0,0,select * from T,203,203
2-11512626-6.html.csv,"when the score was 4 - 5 , the athletics record went 53 - 32 against the colorado rockies","Based on the table, there is no record of the athletics playing against the colorado rockies when the score was 4-5. Therefore, the claim is false.",0,0,select * from T,203,203
2-11512626-6.html.csv,"on august 25 , remlinger (6 - 6) took the win against the rockies","Based on the provided table, on August 25, remlinger (6 - 6) did not take the win against the Rockies. The score for that game was 6 - 4 in favor of the Reds. Therefore, the claim is false.",0,0,select * from T,203,203
2-12523044-5.html.csv,steve stricker had a score lower than phil mickelson,"Based on the table, Steve Stricker had a score of 139 while Phil Mickelson had a score of 143. Therefore, the claim is true.",1,1,"SELECT player, score FROM T WHERE player = 'steve stricker' OR player = 'phil mickelson';",4,60
2-12523044-5.html.csv,pádraig harrington is the only player from northern ireland,"Based on the table, there is only one player from Northern Ireland, which is Graeme McDowell. Therefore, the claim is false.",0,0,"SELECT player, country FROM T WHERE country = 'northern ireland';",2,60
2-12523044-5.html.csv,kenneth ferrie and geoff ogilvy were the only players to score a + 1 to par,"Based on the table, kenneth ferrie and geoff ogilvy were the only players who scored a +1 to par, therefore, the claim is true.",1,1,"SELECT player, to_par FROM T WHERE to_par = '+ 1';",4,60
2-12523044-5.html.csv,steve stricker has the best score out of all of the players from the united states,"Based on the table and the SQL query, Steve Stricker has the lowest score out of all the players from the United States, therefore the claim is true.",0,1,"SELECT player, score FROM T WHERE country = 'united states' ORDER BY score ASC LIMIT 1;",2,60
2-12523044-5.html.csv,there are 5 players that are from the united states,"Based on the table, there are indeed 5 players from the United States. Therefore, the claim is true.",1,1,SELECT player FROM T WHERE country = 'united states';,5,60
2-12523044-5.html.csv,steve stricker of of scotland had lower score than of phil mickelson of united states,"Based on the table, Steve Stricker had a score of -1, while Phil Mickelson had a score of +3. Therefore, the claim is false.",0,0,select * from T,60,60
2-12523044-5.html.csv,pádraig harrington and graeme mcdowell are both fron northern ireland,"Based on the table, only Graeme McDowell is listed as being from Northern Ireland. Therefore, the claim is false.",0,0,"SELECT player, country FROM T WHERE country = 'northern ireland' AND (player = 'pádraig harrington' OR player = 'graeme mcdowell');",2,60
2-12523044-5.html.csv,kenneth ferrie and geoff ogilvy of australia were the only players to score a + 1 to par,"Based on the table, kenneth ferrie and geoff ogilvy were the only players to score a +1 to par, therefore, the claim is true.",1,1,"SELECT player, to_par FROM T WHERE to_par = '+ 1';",4,60
2-12523044-5.html.csv,steve stricker of united states has the lowest score among all the players,"Based on the table, the player with the lowest score is Colin Montgomerie from Scotland, not Steve Stricker from the United States. Therefore, the claim is false.",1,0,"SELECT player, country, score FROM T WHERE score = (SELECT MIN(score) FROM T);",3,60
2-12523044-5.html.csv,there are more players from england than of united states during the event in the 2nd round,"Based on the table, there is only one player from England (Kenneth Ferrie) and four players from the United States (Steve Stricker, Jim Furyk, Jason Dufner, and Phil Mickelson) in the 2nd round. Therefore, the claim is false.",0,0,select * from T,60,60
2-10301911-2.html.csv,brian finch rank is greater than 3 and he finished with a time of 2:14.59.0,"Based on the table, the claim is true. Brian Finch's rank is 7, which is greater than 3, and he finished with a time of 2:14.59.0.",1,1,"SELECT rank, time FROM T WHERE rider = 'brian finch' AND rank > 3 AND time = '2:14.59.0';",2,42
2-10301911-2.html.csv,"the time value for the rider brian finch , team suzuki and a rank greater than 3 is 2:14.59.0","Based on the table, the rider brian finch is not part of team suzuki and his rank is 7, which is greater than 3. Therefore, the claim is false.",0,0,select * from T,42,42
2-15547694-1.html.csv,the agricultural panel and labour panel both have 11 total members,"Based on the table, the agricultural panel and labour panel both have a total of 11 members, therefore, the claim is true.",1,1,"SELECT agricultural_panel, labour_panel, total FROM T WHERE agricultural_panel = 11 AND labour_panel = 11;",3,66
2-15547694-1.html.csv,the party with 21 total members has 18 more members than the party with the fewest total members,"Based on the table, the party with the fewest total members has a total of 3 members (21 - 18). Therefore, the claim is true.",1,1,"SELECT party, total FROM T WHERE total = (SELECT MIN(total) FROM T) + 18;",2,66
2-15547694-1.html.csv,university of dublin is the only group of origin made up entirely of members from one party,"Based on the table, there are two groups of origin from the University of Dublin, and both groups have members from different parties. Therefore, the claim is false.",1,0,"SELECT university_of_dublin, party FROM T WHERE university_of_dublin > 0 AND party != 'fianna fáil' AND party != 'fine gael' AND party != 'labour party';",4,66
2-15547694-1.html.csv,nominated by the taoiseach has the most members from one party,"Based on the provided table and query, the claim is true. The party with the most members nominated by the taoiseach is ""total"" with 11 members.",1,1,"SELECT party, nominated_by_the_taoiseach FROM T GROUP BY party ORDER BY COUNT(nominated_by_the_taoiseach) DESC LIMIT 1;",2,66
2-15547694-1.html.csv,industrial and commercial panel has four more members than cultural and educational panel,"Based on the table, the industrial and commercial panel has 9 members and the cultural and educational panel has 5 members. Therefore, the claim is true.",1,1,"SELECT industrial_and_commercial_panel, cultural_and_educational_panel FROM T WHERE industrial_and_commercial_panel = cultural_and_educational_panel + 4;",2,66
2-15547694-1.html.csv,the agricultural panel has 2 members and the labour panel has 5 members,"Based on the table, the agricultural panel has 4 members and the labour panel has 11 members. Therefore, the claim is false.",0,0,select * from T,66,66
2-15547694-1.html.csv,the party with 21 total members has 9 more members than the party with the second most members,"Based on the provided information, there is no data available to determine the number of members in the party with the second most members. Therefore, it is not possible to verify the claim.",0,0,"SELECT party, total FROM T WHERE total = 21;",2,66
2-15547694-1.html.csv,national university of ireland is the only group of origin made up mostly of members from two parties,"Based on the table, the national university of Ireland is the only group of origin that has members from the parties 'fianna fáil' and 'fine gael', therefore, the claim is true.",0,1,"SELECT national_university_of_ireland, party FROM T WHERE national_university_of_ireland > 0 AND (party = 'fianna fáil' OR party = 'fine gael');",4,66
2-15547694-1.html.csv,agricultural panel has the most members from one party,"Based on the table, the party ""total"" has the highest number of members in the agricultural panel with a count of 11. Therefore, the claim is true.",0,1,"SELECT party, agricultural_panel FROM T WHERE agricultural_panel = (SELECT MAX(agricultural_panel) FROM T);",2,66
2-15547694-1.html.csv,administrative panel has four more members than national university of ireland,"Based on the table, the administrative panel has a value of 7 and the national university of Ireland has a value of 3. Therefore, the claim is true, as the administrative panel has four more members than the national university of Ireland.",1,1,"SELECT administrative_panel, national_university_of_ireland FROM T WHERE administrative_panel = national_university_of_ireland + 4;",2,66
2-15214004-2.html.csv,joe germanese was the 27th pick,"Based on the table, Joe Germanese was indeed the 27th pick, so the claim is true.",1,1,"SELECT player, pick FROM T WHERE pick = 27;",2,84
2-15214004-2.html.csv,jonathan leathers was picked 25th,"Based on the table, Jonathan Leathers was indeed picked 25th in the 2008 MLS Superdraft, therefore the claim is true.",1,1,SELECT * FROM T WHERE pick = 25;,6,84
2-15214004-2.html.csv,joe germanese is the player with the number of 24 picks,"Based on the table, the player with the number 24 pick is Andrew Jacobson, not Joe Germanese. Therefore, the claim is false.",0,0,SELECT player FROM T WHERE pick = 24;,1,84
2-15214004-2.html.csv,peter lowry 's pick number was 25,"Based on the table, Peter Lowry's pick number was 26, not 25. Therefore, the claim is false.",0,0,select * from T,84,84
1-25277363-2.html.csv,bob sand wrote episode 149,"Based on the table, episode 149 was written by John Tracy, not Bob Sand. Therefore, the claim is false.",1,0,select * from T,133,133
1-25277363-2.html.csv,tough love was the title of episode 148,"Based on the table, the title ""tough love"" corresponds to episode 148, therefore, the claim is true.",1,1,SELECT title FROM T WHERE no_in_series = 148;,1,133
1-25277363-2.html.csv,"fast friends originally aired on october 12 , 1993","Based on the table, the episode ""fast friends"" indeed originally aired on October 12, 1993. Therefore, the claim is true.",1,1,"SELECT title, original_air_date FROM T WHERE original_air_date = '1993-10-12';",2,133
1-25277363-2.html.csv,"fast friends originally aired on october11 , 1992","Based on the provided table, the claim that ""fast friends originally aired on October 11, 1992"" is false. The original air date for ""fast friends"" is listed as October 12, 1993.",0,0,select * from T,133,133
1-25277363-2.html.csv,the episode number in the series the test is before 148.0,"Based on the table, the episode number in the series ""The Test"" is 159, which is after 148. Therefore, the claim is false.",0,0,select * from T,133,133
1-18600760-10.html.csv,"joliette has 0.771 square miles of water , and can be found with geo id 3806741020","Based on the table, the claim is true. The township of Joliette has 0.771 square miles of water and can be found with geo id 3806741020.",1,1,"SELECT township, water_sqmi, geo_id FROM T WHERE township = 'joliette' AND water_sqmi = 0.771 AND geo_id = 3806741020;",3,90
1-18600760-10.html.csv,the geo id for janke township in logan county is 3804740620,"Based on the table, the geo id for Janke Township in Logan County is indeed 3804740620, therefore the claim is true.",1,1,SELECT geo_id FROM T WHERE township = 'janke' AND county = 'logan' AND geo_id = 3804740620;,1,90
1-18600760-10.html.csv,grand forks county has 36.199 square miles of land,"Based on the table, the claim is true. Grand Forks county has 36.199 square miles of land.",1,1,select * from T,90,90
1-18600760-10.html.csv,joliette township has a geo id of 3806741020,"Based on the table, joliette township does have a geo id of 3806741020, therefore, the claim is true.",1,1,"SELECT township, geo_id FROM T WHERE township = 'joliette' AND geo_id = 3806741020;",2,90
1-18600760-10.html.csv,james hill township has 4.243 sqmi of water and a latitude of 48.423125,"Based on the table, the claim is true. James Hill township has 4.243 sqmi of water and a latitude of 48.423125.",1,1,"SELECT water_sqmi, latitude FROM T WHERE township = 'james hill';",2,90
1-18600760-10.html.csv,the township that has 28.597 sqmi of land is that of james river valley,"Based on the table, the only township that has 28.597 sqmi of land is James River Valley, therefore, the claim is true.",1,1,SELECT township FROM T WHERE land__sqmi_ = 28.597;,1,90
1-18600760-10.html.csv,the geo id for a township with 0.717 square miles of water is 3806741020,"Based on the table, the township with 0.717 square miles of water has a geo id of 3806741020, therefore, the claim is true.",0,1,select * from T,90,90
1-18600760-10.html.csv,the geo id for dickey county is 3804740620,"Based on the table, the geo id for dickey county is indeed 3802140540, not 3804740620. Therefore, the claim is false.",0,0,select * from T,90,90
1-18600760-10.html.csv,the township of jackson is in the mountrail county,"Based on the table, the township of Jackson is in the Sargent county, not in the Mountrail county. Therefore, the claim is false.",0,0,select * from T,90,90
1-18600760-10.html.csv,the geo id for johnstown is 3810340820,"Based on the table, the geo id for johnstown is 3803540940, therefore the claim is false.",0,0,select * from T,90,90
1-18600760-10.html.csv,james hill has the least amount of land (sqmi),"Based on the table, the township ""james river valley"" has the least amount of land with 28.597 sqmi, therefore the claim is true.",0,1,"SELECT township, land__sqmi_ FROM T ORDER BY land__sqmi_ ASC LIMIT 1;",2,90
1-18600760-10.html.csv,the latitude for the township janke is - 97.945530,"Based on the provided information, there is no latitude value given for the township ""janke"" in North Dakota. Therefore, it is not possible to verify the claim.",0,0,SELECT latitude FROM T WHERE township = 'janke';,1,90
1-2126093-3.html.csv,the winner of the miyagi tv cup donlop ladies open ended two point under par ( - 2),"Based on the table, the winner of the miyagi tv cup dunlop ladies open ended five points under par (-5), therefore, the claim is false.",1,0,select * from T,104,104
1-2126093-3.html.csv,the winning score of the vernal ladies tournament was 203,"Based on the table, the winning score of the vernal ladies tournament was 203, therefore, the claim is true.",1,1,select * from T,104,104
1-2126093-3.html.csv,the winner of the miyagi tv cup dunlop ladies open had a 3 - stroke margin of victory,"Based on the table, the winner of the miyagi tv cup dunlop ladies open had a 1-stroke margin of victory, not 3 strokes. Therefore, the claim is false.",0,0,select * from T,104,104
1-2126093-3.html.csv,the winning score of the vernal ladies tornament was set in sept 2006 at 203,"Based on the table, the winning score of the vernal ladies tournament was set in May 2005 at 203, not in September 2006. Therefore, the claim is false.",0,0,select * from T,104,104
2-12817505-2.html.csv,manchester united has been 2nd in league position since 17 november 2005,"Based on the table, Manchester United has been in the 2nd league position since 17 November 2005, therefore, the claim is true.",0,1,SELECT league_position FROM T WHERE league_position = '2nd' AND date >= '2005-11-17';,25,266
2-12817505-2.html.csv,manchester united has beaten portsmouth 2 out of two times since 13 august 2005,"Based on the table, Manchester United has beaten Portsmouth only once since 13 August 2005, not two times. Therefore, the claim is false.",1,0,select * from T,266,266
2-12817505-2.html.csv,manchester united has lost to the blackburn rovers 2 out of two times since 13 august 2005,"Based on the table, Manchester United has only lost to Blackburn Rovers once since 13 August 2005, not twice. Therefore, the claim is false.",1,0,select * from T,266,266
2-12817505-2.html.csv,there have been 19 games since 13 august 2005 which had an attendance of 60000 or more,"Based on the table, there have been 12 games since 13 august 2005 which had an attendance of 60000 or more. Therefore, the claim is false.",1,0,"SELECT date, attendance FROM T WHERE date >= '2005-8-13' AND attendance >= 60000;",24,266
2-12817505-2.html.csv,the game with the lowest attendance happened on 11 february 2006,"Based on the table and the SQL query, the claim is true. The game with the lowest attendance happened on 11 February 2006 with an attendance of 20206.",1,1,"SELECT date, attendance FROM T WHERE date = '2006-2-11' ORDER BY attendance ASC LIMIT 1;",2,266
2-12817505-2.html.csv,manchester united has always lost 3 out of three times to portsmouth since 10 september 2005,"Based on the table, there is only one match between Manchester United and Portsmouth since September 10, 2005, and Manchester United won that match with a score of 3-1. Therefore, the claim is false.",0,0,"SELECT date, opponents, result_f___a FROM T WHERE opponents = 'portsmouth' AND date >= '2005-9-10' AND result_f___a LIKE '%- %';",3,266
2-12817505-2.html.csv,manchester united has drawn all mathces to the blackburn rovers 2 out of two times since 13 august 2005,"Based on the table, Manchester United has only played one match against Blackburn Rovers on September 24, 2005, and the result was a 1-2 loss for Manchester United. Therefore, the claim is false.",0,0,select * from T,266,266
